English;Turkish;Phonetic;TurkishPronunciation;SampleEn;SampleTr;CategoryId;Difficulty
strong feeling;güçlü duygu;/strɒŋ/ /ˈfiːlɪŋ/;strong / fiiling;I have a strong feeling.;Güçlü bir hisse sahibim.;7;2
succeed;başarmak;/səkˈsiːd/;saksiiid;He succeeds in life.;Hayatta başarılı oluyor.;2;2
suggest idea;fikir önermek;/səˈdʒest/ /aɪˈdɪə/;sacest / aydiya;She suggests an idea.;Bir fikir öneriyor.;7;2
supply;sağlamak;/səˈplaɪ/;saplay;They supply water.;Su sağlıyorlar.;2;2
support (verb);desteklemek;/səˈpɔːrt/;saport;I support you.;Seni destekliyorum.;7;2
suppose;varsaymak;/səˈpoʊz/;sapouz;I suppose he is right.;Onun haklı olduğunu varsayıyorum.;3;2
surprise (verb);şaşırtmak;/sərˈpraɪz/;sırprayz;This surprises me.;Bu beni şaşırtıyor.;7;2
survive;hayatta kalmak;/sərˈvaɪv/;sırvayv;He survives the accident.;Kazadan sağ çıkıyor.;5;2
take care;dikkat etmek;/teɪk/ /ker/;teyk / ker;Take care of yourself.;Kendine dikkat et.;8;2
take place;gerçekleşmek;/teɪk/ /pleɪs/;teyk / pleys;The event takes place tomorrow.;Etkinlik yarın gerçekleşir.;8;2
take part;katılmak;/teɪk/ /pɑːrt/;teyk / part;I take part in the game.;Oyuna katılıyorum.;8;2
take photo;fotoğraf çekmek;/teɪk/ /ˈfoʊtoʊ/;teyk / foto;I take a photo.;Fotoğraf çekiyorum.;4;2
take risk;risk almak;/teɪk/ /rɪsk/;teyk / risk;He takes a risk.;Risk alıyor.;2;2
take time;zaman almak;/teɪk/ /taɪm/;teyk / taym;This takes time.;Bu zaman alır.;1;2
talk about;hakkında konuşmak;/tɔːk/ /əˈbaʊt/;tolk / abaut;We talk about it.;Onun hakkında konuşuyoruz.;8;2
teach someone;birine öğretmek;/tiːtʃ/ /ˈsʌmwʌn/;tiiç / samvan;I teach him English.;Ona İngilizce öğretiyorum.;3;2
tell truth;doğruyu söylemek;/tel/ /truːθ/;tel / truuth;Tell the truth.;Doğruyu söyle.;7;2
tend to;eğiliminde olmak;/tend/ /tuː/;tend / tu;I tend to forget.;Unutmaya eğilimliyim.;3;2
thank for;teşekkür etmek;/θæŋk/ /fɔːr/;tenk / for;Thank you for help.;Yardım için teşekkürler.;7;2
think about;hakkında düşünmek;/θɪŋk/ /əˈbaʊt/;tink / abaut;Think about it.;Onu düşün.;8;2
throw away;çöpe atmak;/θroʊ/ /əˈweɪ/;trow / aveey;Throw away the trash.;Çöpü at.;8;2
tidy up;toparlamak;/ˈtaɪdi/ /ʌp/;taydi / ap;Tidy up your room.;Odanı toparla.;8;2
touch (feel);dokunmak;/tʌtʃ/;taç;Don’t touch it.;Ona dokunma.;5;2
train (practice);antrenman yapmak;/treɪn/;treyn;I train every day.;Her gün antrenman yapıyorum.;5;2
treat;davranmak;/triːt/;triit;Treat people well.;İnsanlara iyi davran.;7;2
trust;güvenmek;/trʌst/;trast;I trust you.;Sana güveniyorum.;7;2
try on;denemek (kıyafet);/traɪ/ /ɒn/;tray / on;Try on this shirt.;Bu gömleği dene.;8;2
turn off;kapatmak;/tɜːrn/ /ɒf/;törn / of;Turn off the light.;Işığı kapat.;8;2
turn on;açmak;/tɜːrn/ /ɒn/;törn / on;Turn on the TV.;Televizyonu aç.;8;2
turn up;ortaya çıkmak;/tɜːrn/ /ʌp/;törn / ap;He turns up late.;Geç ortaya çıkıyor.;8;2
use up;tüketmek;/juːz/ /ʌp/;yuuz / ap;We use up all water.;Tüm suyu tüketiyoruz.;8;2
value;değer;/ˈvæljuː/;velyu;This has great value.;Bunun büyük değeri var.;3;2
vary;değişmek;/ˈveri/;veri;Prices vary.;Fiyatlar değişir.;3;2
view;görüş;/vjuː/;vyu;This is my view.;Bu benim görüşüm.;3;2
visit place;ziyaret etmek;/ˈvɪzɪt/ /pleɪs/;vizit / pleys;I visit my friend.;Arkadaşımı ziyaret ediyorum.;4;2
wait for;beklemek;/weɪt/ /fɔːr/;weyt / for;I wait for you.;Seni bekliyorum.;8;2
wake up;uyanmak;/weɪk/ /ʌp/;weyk / ap;I wake up early.;Erken uyanıyorum.;8;2
walk away;uzaklaşmak;/wɔːk/ /əˈweɪ/;wok / aveey;He walks away.;Uzaklaşıyor.;8;2
warm up;ısınmak;/wɔːrm/ /ʌp/;worm / ap;Warm up before exercise.;Egzersizden önce ısın.;5;2
warn;uyarmak;/wɔːrn/;worn;They warn us.;Bizi uyarıyorlar.;7;2
waste;israf etmek;/weɪst/;weyst;Don’t waste time.;Zamanı boşa harcama.;2;2
watch out;dikkat etmek;/wɒtʃ/ /aʊt/;voç / aut;Watch out for cars.;Arabalara dikkat et.;8;2
wear out;yıpranmak;/wer/ /aʊt/;wer / aut;Shoes wear out fast.;Ayakkabılar hızlı yıpranır.;8;2
win game;oyun kazanmak;/wɪn/ /ɡeɪm/;win / geym;They win the game.;Oyunu kazanıyorlar.;1;2
work out;egzersiz yapmak;/wɜːrk/ /aʊt/;ورک / aut;I work out daily.;Her gün egzersiz yapıyorum.;8;2
worry about;endişelenmek;/ˈwɜːri/ /əˈbaʊt/;vöri / abaut;Don’t worry about it.;Bunun için endişelenme.;7;2
write down;not almak;/raɪt/ /daʊn/;rayt / daun;Write it down.;Not al.;8;2
look up;araştırmak;/lʊk/ /ʌp/;luk / ap;Look up the word.;Kelimeyi araştır.;8;2
break into;zorla girmek;/breɪk/ /ˈɪntuː/;breyk / intu;They break into the house.;Eve zorla giriyorlar.;8;2
carry out;gerçekleştirmek;/ˈkæri/ /aʊt/;keri / aut;Carry out the plan.;Planı gerçekleştir.;8;2
come across;rastlamak;/kʌm/ /əˈkrɒs/;kam / akros;I come across a friend.;Bir arkadaşıma rastlıyorum.;8;2
come back;geri gelmek;/kʌm/ /bæk/;kam / bek;Come back soon.;Yakında geri gel.;8;2
cut down;azaltmak;/kʌt/ /daʊn/;kat / daun;Cut down the trees.;Ağaçları azalt/kes.;8;2
fill in;doldurmak;/fɪl/ /ɪn/;fil / in;Fill in the form.;Formu doldur.;8;2
find out;öğrenmek;/faɪnd/ /aʊt/;faynd / aut;Find out the truth.;Gerçeği öğren.;8;2
get along;iyi geçinmek;/ɡet/ /əˈlɒŋ/;get / along;We get along well.;İyi geçiniyoruz.;8;2
get off;inmek;/ɡet/ /ɒf/;get / of;Get off the bus.;Otobüsten in.;8;2
get on;binmek;/ɡet/ /ɒn/;get / on;Get on the train.;Trene bin.;8;2
give back;geri vermek;/ɡɪv/ /bæk/;giv / bek;Give back my book.;Kitabımı geri ver.;8;2
go on;devam etmek;/ɡoʊ/ /ɒn/;gou / on;Go on speaking.;Konuşmaya devam et.;8;2
accurate;doğru / hatasız;/ˈækjərət/;akyırıt;The answer is accurate.;Cevap doğru/hatasız.;3;2
achieve result;sonuç elde etmek;/əˈtʃiːv/ /rɪˈzʌlt/;açiiv / rizalt;We achieve good results.;İyi sonuçlar elde ediyoruz.;2;2
act like;gibi davranmak;/ækt/ /laɪk/;ekt / layk;He acts like a child.;Çocuk gibi davranıyor.;8;2
actual;gerçek;/ˈæktʃuəl/;ekçual;This is the actual reason.;Bu gerçek sebep.;1;2
add up;toplamak;/æd/ /ʌp/;ed / ap;Add up the numbers.;Sayıları topla.;8;2
adjust to;uyum sağlamak;/əˈdʒʌst/ /tuː/;ecast / tu;He adjusts to new life.;Yeni hayata uyum sağlıyor.;8;2
admire;hayran olmak;/ədˈmaɪər/;admayır;I admire her talent.;Onun yeteneğine hayranım.;7;2
admit;kabul etmek;/ədˈmɪt/;admit;He admits his mistake.;Hatasını kabul ediyor.;7;2
advance;ilerlemek;/ədˈvæns/;advens;Technology advances fast.;Teknoloji hızlı ilerliyor.;2;2
affect result;sonucu etkilemek;/əˈfekt/ /rɪˈzʌlt/;afekt / rizalt;This affects the result.;Bu sonucu etkiler.;3;2
afford to buy;satın alabilmek;/əˈfɔːrd/ /tuː/ /baɪ/;aford / tu / bay;I afford to buy it.;Onu satın alabiliyorum.;2;2
aim at;hedeflemek;/eɪm/ /æt/;eym / et;He aims at success.;Başarıyı hedefliyor.;8;2
alert;uyanık / dikkatli;/əˈlɜːrt/;alört;Stay alert always.;Her zaman dikkatli ol.;1;2
allow access;erişime izin vermek;/əˈlaʊ/ /ˈækses/;alav / akses;They allow access here.;Buraya erişime izin veriyorlar.;6;2
announce news;haber duyurmak;/əˈnaʊns/ /njuːz/;anauns / nyuuz;They announce the news.;Haberi duyuruyorlar.;2;2
annoy someone;birini sinirlendirmek;/əˈnɔɪ/ /ˈsʌmwʌn/;anoy / samvan;He annoys me.;Beni sinirlendiriyor.;7;2
apart;ayrı;/əˈpɑːrt/;apart;We live apart.;Ayrı yaşıyoruz.;1;2
apply method;yöntem uygulamak;/əˈplaɪ/ /ˈmeθəd/;aplai / metad;Apply this method.;Bu yöntemi uygula.;3;2
arrange meeting;toplantı ayarlamak;/əˈreɪndʒ/ /ˈmiːtɪŋ/;areync / miiting;We arrange a meeting.;Bir toplantı ayarlıyoruz.;2;2
arrive on time;zamanında varmak;/əˈraɪv/ /ɒn/ /taɪm/;arayv / on / taym;I arrive on time.;Zamanında varıyorum.;4;2
assume;varsaymak;/əˈsuːm/;asuum;I assume he is right.;Onun haklı olduğunu varsayıyorum.;3;2
attempt;denemek;/əˈtempt/;atempt;He attempts to win.;Kazanmaya çalışıyor.;2;2
attract attention;dikkat çekmek;/əˈtrækt/ /əˈtenʃən/;atrakt / atenşın;This attracts attention.;Bu dikkat çeker.;7;2
avoid problem;problemden kaçınmak;/əˈvɔɪd/ /ˈprɒbləm/;avoıd / problım;Avoid this problem.;Bu problemden kaçın.;1;2
back up;desteklemek;/bæk/ /ʌp/;bek / ap;I back up your idea.;Fikrini destekliyorum.;8;2
base on;dayandırmak;/beɪs/ /ɒn/;beys / on;Base it on facts.;Bunu gerçeklere dayandır.;8;2
beat;yenmek;/biːt/;biit;They beat the team.;Takımı yeniyorlar.;1;2
behave badly;kötü davranmak;/bɪˈheɪv/ /ˈbædli/;biheiv / bedli;He behaves badly.;Kötü davranıyor.;7;2
benefit from;faydalanmak;/ˈbenɪfɪt/ /frɒm/;benifit / from;I benefit from this.;Bundan faydalanıyorum.;8;2
blame someone;birini suçlamak;/bleɪm/ /ˈsʌmwʌn/;bleym / samvan;Don’t blame me.;Beni suçlama.;7;2
block road;yolu kapatmak;/blɒk/ /roʊd/;blok / roud;They block the road.;Yolu kapatıyorlar.;4;2
board plane;uçağa binmek;/bɔːrd/ /pleɪn/;bord / pleyn;We board the plane.;Uçağa biniyoruz.;4;2
bother someone;birini rahatsız etmek;/ˈbɒðər/ /ˈsʌmwʌn/;bodır / samvan;Don’t bother her.;Onu rahatsız etme.;7;2
break rule;kuralı bozmak;/breɪk/ /ruːl/;breyk / ruul;He breaks the rule.;Kuralı bozuyor.;1;2
bring together;bir araya getirmek;/brɪŋ/ /təˈɡeðər/;bring / tıgedır;They bring people together.;İnsanları bir araya getiriyorlar.;8;2
build relationship;ilişki kurmak;/bɪld/ /rɪˈleɪʃənʃɪp/;bild / rileyşınşip;Build a good relationship.;İyi bir ilişki kur.;7;2
burn down;yanıp yok olmak;/bɜːrn/ /daʊn/;börn / daun;The house burns down.;Ev yanıp yok oluyor.;8;2
calculate cost;maliyet hesaplamak;/ˈkælkjuleɪt/ /kɒst/;kelkyuleyt / kost;Calculate the cost.;Maliyeti hesapla.;2;2
calm down;sakinleşmek;/kɑːm/ /daʊn/;kaam / daun;Calm down please.;Lütfen sakinleş.;8;2
care for;bakmak / ilgilenmek;/ker/ /fɔːr/;ker / for;She cares for children.;Çocuklarla ilgileniyor.;8;2
carry bag;çanta taşımak;/ˈkæri/ /bæɡ/;keri / beg;He carries a bag.;Çanta taşıyor.;1;2
catch cold;üşütmek;/kætʃ/ /koʊld/;keç / kould;I catch a cold.;Üşütüyorum.;5;2
cause problem;sorun yaratmak;/kɔːz/ /ˈprɒbləm/;koz / problım;This causes problems.;Bu sorun yaratır.;3;2
celebrate event;etkinlik kutlamak;/ˈseləbreɪt/ /ɪˈvent/;selebreyt / ivent;We celebrate the event.;Etkinliği kutluyoruz.;7;2
challenge yourself;kendine meydan okumak;/ˈtʃælɪndʒ/ /jɔːrˈself/;çelinc / yorself;Challenge yourself daily.;Kendine her gün meydan oku.;7;2
change plan;plan değiştirmek;/tʃeɪndʒ/ /plæn/;çeynç / plen;I change the plan.;Planı değiştiriyorum.;2;2
check again;tekrar kontrol etmek;/tʃek/ /əˈɡen/;çek / agen;Check it again.;Tekrar kontrol et.;2;2
choose wisely;akıllıca seçmek;/tʃuːz/ /ˈwaɪzli/;çuuz / vayzli;Choose wisely.;Akıllıca seç.;1;2
clear up;açıklığa kavuşturmak;/klɪr/ /ʌp/;klir / ap;Clear up the problem.;Sorunu açıklığa kavuştur.;8;2
climb down;aşağı inmek;/klaɪm/ /daʊn/;klaym / daun;He climbs down.;Aşağı iniyor.;8;2
collect data;veri toplamak;/kəˈlekt/ /ˈdeɪtə/;kolekt / deyta;Collect the data.;Veriyi topla.;3;2
communicate clearly;açık iletişim kurmak;/kəˈmjuːnɪkeɪt/ /ˈklɪrli/;komyunikeyt / klirli;Communicate clearly.;Açık iletişim kur.;2;2
compare results;sonuçları karşılaştırmak;/kəmˈper/ /rɪˈzʌlts/;komper / rizalts;Compare the results.;Sonuçları karşılaştır.;3;2
complain loudly;yüksek sesle şikayet etmek;/kəmˈpleɪn/ /ˈlaʊdli/;kompleyn / laudli;He complains loudly.;Yüksek sesle şikayet ediyor.;7;2
complete work;işi tamamlamak;/kəmˈpliːt/ /wɜːrk/;kompliit / vörk;Complete your work.;İşini tamamla.;2;2
concentrate fully;tamamen odaklanmak;/ˈkɒnsəntreɪt/ /ˈfʊli/;konsıntreyt / fuli;Concentrate fully now.;Şimdi tamamen odaklan.;3;2
confirm detail;detayı onaylamak;/kənˈfɜːrm/ /ˈdiːteɪl/;konfırm / diiteyl;Confirm the detail.;Detayı onayla.;2;2
connect devices;cihazları bağlamak;/kəˈnekt/ /dɪˈvaɪsɪz/;konekt / divaysiz;Connect the devices.;Cihazları bağla.;6;2
consider option;seçeneği düşünmek;/kənˈsɪdər/ /ˈɒpʃən/;konsidır / opşın;Consider this option.;Bu seçeneği düşün.;3;2
control situation;durumu kontrol etmek;/kənˈtroʊl/ /ˌsɪtʃuˈeɪʃən/;kontrol / siçueyşın;Control the situation.;Durumu kontrol et.;2;2
create plan;plan oluşturmak;/kriˈeɪt/ /plæn/;kriyeyt / plen;Create a plan.;Bir plan oluştur.;2;2
deal problem;sorunla uğraşmak;/diːl/ /ˈprɒbləm/;diil / problım;Deal with the problem.;Sorunla uğraş.;2;2
decrease price;fiyat düşürmek;/dɪˈkriːs/ /praɪs/;dikriis / prays;They decrease prices.;Fiyatları düşürüyorlar.;2;2
defend yourself;kendini savunmak;/dɪˈfend/ /jɔːrˈself/;difend / yorself;Defend yourself.;Kendini savun.;7;2
delay flight;uçuşu geciktirmek;/dɪˈleɪ/ /flaɪt/;diley / flayt;They delay the flight.;Uçuşu geciktiriyorlar.;4;2
demand answer;cevap talep etmek;/dɪˈmænd/ /ˈænsər/;dimend / ensır;He demands an answer.;Cevap talep ediyor.;2;2
depend entirely;tamamen bağlı olmak;/dɪˈpend/ /ɪnˈtaɪərli/;dipend / intayırli;It depends entirely on you.;Tamamen sana bağlı.;8;2
describe clearly;açıkça anlatmak;/dɪˈskraɪb/ /ˈklɪrli/;diskırayb / klirli;Describe it clearly.;Açıkça anlat.;3;2
design product;ürün tasarlamak;/dɪˈzaɪn/ /ˈprɒdʌkt/;dizayn / prodakt;They design a product.;Bir ürün tasarlıyorlar.;6;2
destroy building;bina yıkmak;/dɪˈstrɔɪ/ /ˈbɪldɪŋ/;distroı / bilding;They destroy the building.;Binayı yıkıyorlar.;1;2
develop system;sistem geliştirmek;/dɪˈveləp/ /ˈsɪstəm/;divelop / sistım;Develop the system.;Sistemi geliştir.;6;2
discover place;yer keşfetmek;/dɪˈskʌvər/ /pleɪs/;diskavır / pleys;Discover new places.;Yeni yerler keşfet.;4;2
discuss topic;konu tartışmak;/dɪˈskʌs/ /ˈtɒpɪk/;diskas / topik;Discuss the topic.;Konuyu tartış.;3;2
divide work;işi bölmek;/dɪˈvaɪd/ /wɜːrk/;divayd / vörk;Divide the work.;İşi böl.;2;2
double size;boyutu iki katına çıkarmak;/ˈdʌbəl/ /saɪz/;dabıl / sayz;Double the size.;Boyutu iki katına çıkar.;3;2
drop item;eşya düşürmek;/drɒp/ /ˈaɪtəm/;drop / aytım;He drops the item.;Eşyayı düşürüyor.;1;2
earn enough;yeterince kazanmak;/ɜːrn/ /ɪˈnʌf/;örn / inaf;I earn enough money.;Yeterince para kazanıyorum.;2;2
educate;eğitmek;/ˈedʒukeɪt/;ejukeyt;Teachers educate students.;Öğretmenler öğrencileri eğitir.;3;2
effect change;değişim yaratmak;/ɪˈfekt/ /tʃeɪndʒ/;ifekt / çeynç;This effects change.;Bu değişim yaratır.;3;2
encourage student;öğrenciyi teşvik etmek;/ɪnˈkʌrɪdʒ/ /ˈstuːdənt/;inkırıc / stuudınt;Encourage the student.;Öğrenciyi teşvik et.;3;2
enjoy moment;anın tadını çıkarmak;/ɪnˈdʒɔɪ/ /ˈmoʊmənt/;incoy / moumınt;Enjoy the moment.;Anın tadını çıkar.;7;2
enter building;binaya girmek;/ˈentər/ /ˈbɪldɪŋ/;entır / bilding;Enter the building.;Binaya gir.;1;2
environment issue;çevre sorunu;/ɪnˈvaɪrənmənt/ /ˈɪʃuː/;invayrınmınt / işu;This is an environment issue.;Bu bir çevre sorunu.;6;2
equal value;eşit değer;/ˈiːkwəl/ /ˈvæljuː/;iikvıl / velyu;These have equal value.;Bunlar eşit değerde.;3;2
escape danger;tehlikeden kaçmak;/ɪˈskeɪp/ /ˈdeɪndʒər/;iskeyp / deyncır;Escape from danger.;Tehlikeden kaç.;5;2
especially important;özellikle önemli;/ɪˈspeʃəli/ /ɪmˈpɔːrtənt/;ispeshılı / importınt;This is especially important.;Bu özellikle önemli.;3;2
establish rule;kural koymak;/ɪˈstæblɪʃ/ /ruːl/;istabliş / ruul;Establish new rules.;Yeni kurallar koy.;2;2
even now;şimdi bile;/ˈiːvən/ /naʊ/;iivın / nau;Even now, I remember.;Şimdi bile hatırlıyorum.;1;2
examine carefully;dikkatle incelemek;/ɪɡˈzæmɪn/ /ˈkerfəli/;igzemin / kerfıli;Examine it carefully.;Onu dikkatle incele.;3;2
exchange ideas;fikir alışverişi yapmak;/ɪksˈtʃeɪndʒ/ /aɪˈdɪəz/;iksçeync / aydiyaz;We exchange ideas.;Fikir alışverişi yapıyoruz.;7;2
exist today;bugün var olmak;/ɪɡˈzɪst/ /təˈdeɪ/;igzist / tıdey;This exists today.;Bu bugün var.;3;2
expect success;başarı beklemek;/ɪkˈspekt/ /səkˈses/;ikspekt / sakses;I expect success.;Başarı bekliyorum.;2;2
expensive item;pahalı ürün;/ɪkˈspensɪv/ /ˈaɪtəm/;ikspensiv / aytım;This is an expensive item.;Bu pahalı bir ürün.;2;2
express feeling;duygu ifade etmek;/ɪkˈspres/ /ˈfiːlɪŋ/;ikspres / fiiling;Express your feelings.;Duygularını ifade et.;7;2
extend time;süre uzatmak;/ɪkˈstend/ /taɪm/;ikstend / taym;Extend the time.;Süreyi uzat.;2;2
extra time;ekstra zaman;/ˈekstrə/ /taɪm/;ekstra / taym;I need extra time.;Ek zam lazım.;1;2
accept responsibility;sorumluluk kabul etmek;/əkˈsept/ /rɪˌspɒnsəˈbɪləti/;aksept / risponsıbıliti;He accepts responsibility.;Sorumluluk kabul ediyor.;2;2
access;erişim;/ˈækses/;akses;I have access to the system.;Sisteme erişimim var.;6;2
accomplish;başarmak;/əˈkɒmplɪʃ/;akompliş;She accomplishes her goals.;Hedeflerini başarıyor.;2;2
according to;#AD?;/əˈkɔːrdɪŋ/ /tuː/;akording / tu;According to him, it is easy.;Ona göre bu kolay.;3;2
account for;açıklamak;/əˈkaʊnt/ /fɔːr/;akaunt / for;This accounts for the delay.;Bu gecikmeyi açıklar.;8;2
achieve aim;amaca ulaşmak;/əˈtʃiːv/ /eɪm/;açiiv / eym;He achieves his aim.;Amacına ulaşıyor.;2;2
across from;karşısında;/əˈkrɒs/ /frɒm/;akros / from;The bank is across from school.;Banka okulun karşısında.;1;2
action;eylem;/ˈækʃən/;ekşın;Take action now.;Şimdi harekete geç.;1;2
active role;aktif rol;/ˈæktɪv/ /roʊl/;aktiv / roul;She plays an active role.;Aktif rol oynuyor.;2;2
adapt;uyum sağlamak;/əˈdæpt/;adapt;He adapts quickly.;Hızlı uyum sağlar.;1;2
additional cost;ek maliyet;/əˈdɪʃənəl/ /kɒst/;adişınıl / kost;There is additional cost.;Ek maliyet var.;2;2
address problem;problemi ele almak;/əˈdres/ /ˈprɒbləm/;adres / problım;Address the problem now.;Problemi şimdi ele al.;2;2
adjust settings;ayarları düzenlemek;/əˈdʒʌst/ /ˈsetɪŋz/;ecast / setings;Adjust the settings.;Ayarları düzenle.;6;2
admire someone;birine hayran olmak;/ədˈmaɪər/ /ˈsʌmwʌn/;admayır / samvan;I admire her.;Ona hayranım.;7;2
admit mistake;hatayı kabul etmek;/ədˈmɪt/ /mɪˈsteɪk/;admit / misteyk;He admits his mistake.;Hatasını kabul ediyor.;7;2
advance level;ileri seviye;/ədˈvæns/ /ˈlevəl/;advens / levıl;This is an advanced level.;Bu ileri seviye.;3;2
affect people;insanları etkilemek;/əˈfekt/ /ˈpiːpəl/;afekt / piipıl;This affects people.;Bu insanları etkiler.;7;2
after all;sonuçta;/ˈæftər/ /ɔːl/;eftır / ool;After all, he is right.;Sonuçta o haklı.;1;2
against rule;kurala karşı;/əˈɡenst/ /ruːl/;agenst / ruul;This is against the rule.;Bu kurala aykırı.;1;2
ahead of time;önceden;/əˈhed/ /əv/ /taɪm/;ahed / ıv / taym;Finish it ahead of time.;Önceden bitir.;1;2
aim high;yüksek hedeflemek;/eɪm/ /haɪ/;eym / hay;Aim high always.;Her zaman yüksek hedefle.;2;2
alert system;uyarı sistemi;/əˈlɜːrt/ /ˈsɪstəm/;alört / sistım;The alert system works.;Uyarı sistemi çalışıyor.;6;2
allow entry;girişe izin vermek;/əˈlaʊ/ /ˈentri/;alav / entri;They allow entry here.;Buraya girişe izin veriyorlar.;4;2
announce result;sonucu açıklamak;/əˈnaʊns/ /rɪˈzʌlt/;anauns / rizalt;They announce the result.;Sonucu açıklıyorlar.;2;2
annoy people;insanları rahatsız etmek;/əˈnɔɪ/ /ˈpiːpəl/;anoy / piipıl;He annoys people.;İnsanları rahatsız ediyor.;7;2
apart from that;bunun dışında;/əˈpɑːrt/ /frɒm/ /ðæt/;apart / from / det;Apart from that, all is fine.;Bunun dışında her şey iyi.;3;2
apply knowledge;bilgiyi uygulamak;/əˈplaɪ/ /ˈnɒlɪdʒ/;aplai / nolic;Apply your knowledge.;Bilgini uygula.;3;2
arrange details;detayları düzenlemek;/əˈreɪndʒ/ /ˈdiːteɪlz/;areync / diiteylz;Arrange the details.;Detayları düzenle.;2;2
arrive safely;güvenle varmak;/əˈraɪv/ /ˈseɪfli/;arayv / seyfli;We arrive safely.;Güvenle varıyoruz.;4;2
assume correctly;doğru varsaymak;/əˈsuːm/ /kəˈrektli/;asuum / korektli;I assume correctly.;Doğru varsayıyorum.;3;2
attempt again;tekrar denemek;/əˈtempt/ /əˈɡen/;atempt / agen;Try and attempt again.;Tekrar dene.;2;2
attract interest;ilgi çekmek;/əˈtrækt/ /ˈɪntrəst/;atrakt / intrest;This attracts interest.;Bu ilgi çekiyor.;7;2
avoid risk;riskten kaçınmak;/əˈvɔɪd/ /rɪsk/;avoıd / risk;Avoid the risk.;Riskten kaçın.;2;2
back home;eve geri;/bæk/ /hoʊm/;bek / houm;I go back home.;Eve geri gidiyorum.;1;2
base decision;kararı dayandırmak;/beɪs/ /dɪˈsɪʒən/;beys / disijın;Base your decision on facts.;Kararını gerçeklere dayandır.;3;2
beat opponent;rakibi yenmek;/biːt/ /əˈpoʊnənt/;biit / apounınt;He beats his opponent.;Rakibini yeniyor.;1;2
behave politely;kibar davranmak;/bɪˈheɪv/ /pəˈlaɪtli/;biheiv / pılaytli;Behave politely please.;Lütfen kibar davran.;7;2
benefit people;insanlara fayda sağlamak;/ˈbenɪfɪt/ /ˈpiːpəl/;benifit / piipıl;This benefits people.;Bu insanlara fayda sağlar.;7;2
blame mistake;hatayı suçlamak;/bleɪm/ /mɪˈsteɪk/;bleym / misteyk;Don’t blame the mistake.;Hatayı suçlama.;7;2
block access;erişimi engellemek;/blɒk/ /ˈækses/;blok / akses;They block access.;Erişimi engelliyorlar.;6;2
board train;trene binmek;/bɔːrd/ /treɪn/;bord / treyn;We board the train.;Trene biniyoruz.;4;2
bother others;başkalarını rahatsız etmek;/ˈbɒðər/ /ˈʌðərz/;bodır / adırz;Don’t bother others.;Başkalarını rahatsız etme.;7;2
break habit;alışkanlığı bozmak;/breɪk/ /ˈhæbɪt/;breyk / hebit;Break bad habits.;Kötü alışkanlıkları bırak.;7;2
bring forward;öne almak;/brɪŋ/ /ˈfɔːrwərd/;bring / forvırd;Bring the meeting forward.;Toplantıyı öne al.;8;2
build trust;güven oluşturmak;/bɪld/ /trʌst/;bild / trast;Build trust slowly.;Güveni yavaşça oluştur.;7;2
burn energy;enerji yakmak;/bɜːrn/ /ˈenərdʒi/;börn / enırci;Exercise burns energy.;Egzersiz enerji yakar.;5;2
calculate result;sonuç hesaplamak;/ˈkælkjuleɪt/ /rɪˈzʌlt/;kelkyuleyt / rizalt;Calculate the result.;Sonucu hesapla.;3;2
calm yourself;kendini sakinleştirmek;/kɑːm/ /jɔːrˈself/;kaam / yorself;Calm yourself down.;Kendini sakinleştir.;7;2
care deeply;çok önemsemek;/ker/ /ˈdiːpli/;ker / diipli;I care deeply about you.;Seni çok önemsiyorum.;7;2
carry responsibility;sorumluluk taşımak;/ˈkæri/ /rɪˌspɒnsəˈbɪləti/;keri / risponsıbıliti;He carries responsibility.;Sorumluluk taşıyor.;2;2
catch bus;otobüs yakalamak;/kætʃ/ /bʌs/;keç / bas;I catch the bus.;Otobüsü yakalıyorum.;4;2
cause damage;zarar vermek;/kɔːz/ /ˈdæmɪdʒ/;koz / demic;This causes damage.;Bu zarar verir.;5;2
celebrate success;başarı kutlamak;/ˈseləbreɪt/ /səkˈses/;selebreyt / sakses;We celebrate success.;Başarıyı kutluyoruz.;7;2
challenge idea;fikre meydan okumak;/ˈtʃælɪndʒ/ /aɪˈdɪə/;çelinc / aydiya;Challenge the idea.;Fikre meydan oku.;3;2
change direction;yön değiştirmek;/tʃeɪndʒ/ /dəˈrekʃən/;çeynç / direkşın;Change direction now.;Şimdi yön değiştir.;4;2
check detail;detayı kontrol etmek;/tʃek/ /ˈdiːteɪl/;çek / diiteyl;Check the details.;Detayları kontrol et.;2;2
choose option;seçenek seçmek;/tʃuːz/ /ˈɒpʃən/;çuuz / opşın;Choose an option.;Bir seçenek seç.;1;2
clear answer;net cevap;/klɪr/ /ˈænsər/;klir / ensır;Give a clear answer.;Net cevap ver.;3;2
climb mountain;dağa tırmanmak;/klaɪm/ /ˈmaʊntən/;klaym / mauntın;They climb the mountain.;Dağa tırmanıyorlar.;4;2
collect information;bilgi toplamak;/kəˈlekt/ /ˌɪnfərˈmeɪʃən/;kolekt / informeyşın;Collect information.;Bilgi topla.;3;2
communicate ideas;fikirleri iletmek;/kəˈmjuːnɪkeɪt/ /aɪˈdɪəz/;komyunikeyt / aydiyaz;Communicate your ideas.;Fikirlerini ilet.;7;2
